2PE 1:7.1 ἐν PREP 1722 ἐν ! ἐν
2PE 1:7.2 δὲ CONJ 1161 δέ ! δέ
2PE 1:7.3 τῇ T-DSF 3588 ὁ ! ὁ
2PE 1:7.4 εὐσεβείᾳ N-DSF 2150 εὐσέβεια ! εὐσέβεια
2PE 1:7.5 τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:7.6 φιλαδελφίαν, N-ASF 5360 φιλαδελφία ! φιλαδελφία
2PE 1:7.7 ἐν PREP 1722 ἐν ! ἐν
2PE 1:7.8 δὲ CONJ 1161 δέ ! δέ
2PE 1:7.9 τῇ T-DSF 3588 ὁ ! ὁ
2PE 1:7.10 φιλαδελφίᾳ N-DSF 5360 φιλαδελφία ! φιλαδελφία
2PE 1:7.11 τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:7.12 ἀγάπην. N-ASF 26 ἀγάπη ! ἀγάπη
2PE 1:8.1 ταῦτα D-NPN 3778 οὗτος ! οὗτος
2PE 1:8.2 γὰρ CONJ 1063 γάρ ! γάρ
2PE 1:8.3 ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
2PE 1:8.4 ὑπάρχοντα V-PAP-NPN 5225 ὑπάρχω ! ὑπάρχω
2PE 1:8.5 καὶ CONJ 2532 καί ! καί
2PE 1:8.6 πλεονάζοντα V-PAP-NPN 4121 πλεονάζω ! πλεονάζω
2PE 1:8.7 οὐκ PRT-N 3756 οὐ ! οὐ
2PE 1:8.8 ἀργοὺς A-APM 692 ἀργός ! ἀργός
2PE 1:8.9 οὐδὲ CONJ-N 3761 οὐδέ ! οὐδέ
2PE 1:8.10 ἀκάρπους A-APM 175 ἄκαρπος ! ἄκαρπος
2PE 1:8.11 καθίστησιν V-PAI-3S 2525 καθίστημι ! καθίστημι
2PE 1:8.12 εἰς PREP 1519 εἰς ! εἰς
2PE 1:8.13 τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:8.14 τοῦ T-GSM 3588 ὁ ! ὁ
2PE 1:8.15 κυρίου N-GSM 2962 κύριος ! κύριος
2PE 1:8.16 ἡμῶν P-1GP 2248 ἡμᾶς ! ἐγώ
2PE 1:8.17 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2PE 1:8.18 Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
2PE 1:8.19 ἐπίγνωσιν· N-ASF 1922 ἐπίγνωσις ! ἐπίγνωσις
2PE 1:9.1 ᾧ R-DSM 3739 ὅς ! ὅς
2PE 1:9.2 γὰρ CONJ 1063 γάρ ! γάρ
2PE 1:9.3 μὴ PRT-N 3361 μή ! μή
2PE 1:9.4 πάρεστιν V-PAI-3S 3918 πάρειμι ! πάρειμι
2PE 1:9.5 ταῦτα, D-APN 3778 οὗτος ! οὗτος
2PE 1:9.6 τυφλός A-NSM 5185 τυφλός ! τυφλός
2PE 1:9.7 ἐστιν V-PAI-3S 1510 εἰμί ! εἰμί
2PE 1:9.8 μυωπάζων, V-PAP-NSM 3467 μυωπάζω ! μυωπάζω
2PE 1:9.9 λήθην N-ASF 3024 λήθη ! λήθη
2PE 1:9.10 λαβὼν V-2AAP-NSM 2983 λαμβάνω ! λαμβάνω
2PE 1:9.11 τοῦ T-GSM 3588 ὁ ! ὁ
2PE 1:9.12 καθαρισμοῦ N-GSM 2512 καθαρισμός ! καθαρισμός
2PE 1:9.13 τῶν T-GPF 3588 ὁ ! ὁ
2PE 1:9.14 πάλαι ADV 3819 πάλαι ! πάλαι
2PE 1:9.15 αὐτοῦ P-GSM 846 αὐτός ! αὐτός
2PE 1:9.16 ἁμαρτημάτων. N-GPN 265 ἁμάρτημα ! ἁμάρτημα
2PE 1:10.1 διὸ CONJ 1352 διό ! διό
2PE 1:10.2 μᾶλλον, ADV 3123 μᾶλλον ! μᾶλλον
2PE 1:10.3 ἀδελφοί, N-VPM 80 ἀδελφός ! ἀδελφός
2PE 1:10.4 σπουδάσατε V-AAM-2P 4704 σπουδάζω ! σπουδάζω
2PE 1:10.5 βεβαίαν A-ASF 949 βέβαιος ! βέβαιος
2PE 1:10.6 ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
2PE 1:10.7 τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:10.8 κλῆσιν N-ASF 2821 κλῆσις ! κλῆσις
2PE 1:10.9 καὶ CONJ 2532 καί ! καί
2PE 1:10.10 ἐκλογὴν N-ASF 1589 ἐκλογή ! ἐκλογή
2PE 1:10.11 ποιεῖσθαι· V-PMN 4160 ποιέω ! ποιέω
2PE 1:10.12 ταῦτα D-NPN 3778 οὗτος ! οὗτος
2PE 1:10.13 γὰρ CONJ 1063 γάρ ! γάρ
2PE 1:10.14 ποιοῦντες V-PAP-NPM 4160 ποιέω ! ποιέω
2PE 1:10.15 οὐ PRT-N 3756 οὐ ! οὐ
2PE 1:10.16 μὴ PRT-N 3361 μή ! μή
2PE 1:10.17 πταίσητέ V-AAS-2P 4417 πταίω ! πταίω
2PE 1:10.18 ποτε· PRT 4218 ποτέ ! ποτέ
2PE 1:11.1 οὕτως ADV 3779 οὕτω ! οὕτω
2PE 1:11.2 γὰρ CONJ 1063 γάρ ! γάρ
2PE 1:11.3 πλουσίως ADV 4146 πλουσίως ! πλουσίως
2PE 1:11.4 ἐπιχορηγηθήσεται V-FPI-3S 2023 ἐπιχορηγέω ! ἐπιχορηγέω
2PE 1:11.5 ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
2PE 1:11.6 ἡ T-NSF 3588 ὁ ! ὁ
2PE 1:11.7 εἴσοδος N-NSF 1529 εἴσοδος ! εἴσοδος
2PE 1:11.8 εἰς PREP 1519 εἰς ! εἰς
2PE 1:11.9 τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:11.10 αἰώνιον A-ASF 166 αἰώνιος ! αἰώνιος
2PE 1:11.11 βασιλείαν N-ASF 932 βασιλεία ! βασιλεία
2PE 1:11.12 τοῦ T-GSM 3588 ὁ ! ὁ
2PE 1:11.13 κυρίου N-GSM 2962 κύριος ! κύριος
2PE 1:11.14 ἡμῶν P-1GP 2248 ἡμᾶς ! ἐγώ
2PE 1:11.15 καὶ CONJ 2532 καί ! καί
2PE 1:11.16 σωτῆρος N-GSM 4990 σωτήρ ! σωτήρ
2PE 1:11.17 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2PE 1:11.18 Χριστοῦ. N-GSM 5547 Χριστός ! Χριστός
2PE 1:12.1 Διὸ CONJ 1352 διό ! διό
2PE 1:12.2 μελλήσω V-FAI-1S 3195 μέλλω ! μέλλω
2PE 1:12.3 ἀεὶ ADV 104 ἀεί ! ἀεί
2PE 1:12.4 ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
2PE 1:12.5 ὑπομιμνῄσκειν V-PAN 5279 ὑπομιμνήσκω ! ὑπομιμνῄσκω
2PE 1:12.6 περὶ PREP 4012 περί ! περί
2PE 1:12.7 τούτων, D-GPN 3778 οὗτος ! οὗτος
2PE 1:12.8 καίπερ CONJ 2539 καίπερ ! καίπερ
2PE 1:12.9 εἰδότας V-RAP-APM 1492 εἴδω ! οἶδα
2PE 1:12.10 καὶ CONJ 2532 καί ! καί
2PE 1:12.11 ἐστηριγμένους V-RPP-APM 4741 στηρίζω ! στηρίζω
2PE 1:12.12 ἐν PREP 1722 ἐν ! ἐν
2PE 1:12.13 τῇ T-DSF 3588 ὁ ! ὁ
2PE 1:12.14 παρούσῃ V-PAP-DSF 3918 πάρειμι ! πάρειμι
2PE 1:12.15 ἀληθείᾳ. N-DSF 225 ἀλήθεια ! ἀλήθεια
2PE 1:13.1 δίκαιον A-ASN 1342 δίκαιος ! δίκαιος
2PE 1:13.2 δὲ CONJ 1161 δέ ! δέ
2PE 1:13.3 ἡγοῦμαι, V-PNI-1S 2233 ἡγέομαι ! ἡγέομαι
2PE 1:13.4 ἐφ’ PREP 1909 ἐπί ! ἐπί
2PE 1:13.5 ὅσον K-ASM 3745 ὅσος ! ὅσος
2PE 1:13.6 εἰμὶ V-PAI-1S 1510 εἰμί ! εἰμί
2PE 1:13.7 ἐν PREP 1722 ἐν ! ἐν
2PE 1:13.8 τούτῳ D-DSN 3778 οὗτος ! οὗτος
2PE 1:13.9 τῷ T-DSN 3588 ὁ ! ὁ
2PE 1:13.10 σκηνώματι, N-DSN 4638 σκήνωμα ! σκήνωμα
2PE 1:13.11 διεγείρειν V-PAN 1326 διεγείρω ! διεγείρω
2PE 1:13.12 ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
2PE 1:13.13 ἐν PREP 1722 ἐν ! ἐν
2PE 1:13.14 ὑπομνήσει, N-DSF 5280 ὑπόμνησις ! ὑπόμνησις
2PE 1:14.1 εἰδὼς V-RAP-NSM 1492 εἴδω ! οἶδα
2PE 1:14.2 ὅτι CONJ 3754 ὅτι ! ὅτι
2PE 1:14.3 ταχινή A-NSF 5031 ταχινός ! ταχινός
2PE 1:14.4 ἐστιν V-PAI-3S 1510 εἰμί ! εἰμί
2PE 1:14.5 ἡ T-NSF 3588 ὁ ! ὁ
2PE 1:14.6 ἀπόθεσις N-NSF 595 ἀπόθεσις ! ἀπόθεσις
2PE 1:14.7 τοῦ T-GSN 3588 ὁ ! ὁ
2PE 1:14.8 σκηνώματός N-GSN 4638 σκήνωμα ! σκήνωμα
2PE 1:14.9 μου, P-1GS 1473 ἐγώ ! ἐγώ
2PE 1:14.10 καθὼς ADV 2531 καθώς ! καθώς
2PE 1:14.11 καὶ CONJ 2532 καί ! καί
2PE 1:14.12 ὁ T-NSM 3588 ὁ ! ὁ
2PE 1:14.13 κύριος N-NSM 2962 κύριος ! κύριος
2PE 1:14.14 ἡμῶν P-1GP 2248 ἡμᾶς ! ἐγώ
2PE 1:14.15 Ἰησοῦς N-NSM 2424 Ἰησοῦς ! Ἰησοῦς
2PE 1:14.16 Χριστὸς N-NSM 5547 Χριστός ! Χριστός
2PE 1:14.17 ἐδήλωσέν V-AAI-3S 1213 δηλόω ! δηλόω
2PE 1:14.18 μοι· P-1DS 1473 ἐγώ ! ἐγώ
2PE 1:15.1 σπουδάσω V-FAI-1S 4704 σπουδάζω ! σπουδάζω
2PE 1:15.2 δὲ CONJ 1161 δέ ! δέ
2PE 1:15.3 καὶ CONJ 2532 καί ! καί
2PE 1:15.4 ἑκάστοτε ADV 1539 ἑκάστοτε ! ἑκάστοτε
2PE 1:15.5 ἔχειν V-PAN 2192 ἔχω ! ἔχω
2PE 1:15.6 ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
2PE 1:15.7 μετὰ PREP 3326 μετά ! μετά
2PE 1:15.8 τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:15.9 ἐμὴν S-1ASF 1699 ἐμός ! ἐμός
2PE 1:15.10 ἔξοδον N-ASF 1841 ἔξοδος ! ἔξοδος
2PE 1:15.11 τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:15.12 τούτων D-GPN 3778 οὗτος ! οὗτος
2PE 1:15.13 μνήμην N-ASF 3420 μνήμη ! μνήμη
2PE 1:15.14 ποιεῖσθαι. V-PMN 4160 ποιέω ! ποιέω
2PE 1:16.1 οὐ PRT-N 3756 οὐ ! οὐ
2PE 1:16.2 γὰρ CONJ 1063 γάρ ! γάρ
2PE 1:16.3 σεσοφισμένοις V-RPP-DPM 4679 σοφίζω ! σοφίζω
2PE 1:16.4 μύθοις N-DPM 3454 μῦθος ! μῦθος
2PE 1:16.5 ἐξακολουθήσαντες V-AAP-NPM 1811 ἐξακολουθέω ! ἐξακολουθέω
2PE 1:16.6 ἐγνωρίσαμεν V-AAI-1P 1107 γνωρίζω ! γνωρίζω
2PE 1:16.7 ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
2PE 1:16.8 τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:16.9 τοῦ T-GSM 3588 ὁ ! ὁ
2PE 1:16.10 κυρίου N-GSM 2962 κύριος ! κύριος
2PE 1:16.11 ἡμῶν P-1GP 2248 ἡμᾶς ! ἐγώ
2PE 1:16.12 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2PE 1:16.13 Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
2PE 1:16.14 δύναμιν N-ASF 1411 δύναμις ! δύναμις
2PE 1:16.15 καὶ CONJ 2532 καί ! καί
2PE 1:16.16 παρουσίαν, N-ASF 3952 παρουσία ! παρουσία
2PE 1:16.17 ἀλλ’ CONJ 235 ἀλλά ! ἀλλά
2PE 1:16.18 ἐπόπται N-NPM 2030 ἐπόπτης ! ἐπόπτης
2PE 1:16.19 γενηθέντες V-AOP-NPM 1096 γίνομαι ! γίνομαι
2PE 1:16.20 τῆς T-GSF 3588 ὁ ! ὁ
2PE 1:16.21 ἐκείνου D-GSM 1565 ἐκεῖνος ! ἐκεῖνος
2PE 1:16.22 μεγαλειότητος. N-GSF 3168 μεγαλειότης ! μεγαλειότης
