2TH 1:8.2 πυρὶ N-DSN 4442 πῦρ ! πῦρ
2TH 1:8.3 φλογός, N-GSF 5395 φλόξ ! φλόξ
2TH 1:8.4 διδόντος V-PAP-GSM 1325 δίδωμι ! δίδωμι
2TH 1:8.5 ἐκδίκησιν N-ASF 1557 ἐκδίκησις ! ἐκδίκησις
2TH 1:8.6 τοῖς T-DPM 3588 ὁ ! ὁ
2TH 1:8.7 μὴ PRT-N 3361 μή ! μή
2TH 1:8.8 εἰδόσιν V-RAP-DPM 1492 εἴδω ! οἶδα
2TH 1:8.9 θεὸν N-ASM 2316 θεός ! θεός
2TH 1:8.10 καὶ CONJ 2532 καί ! καί
2TH 1:8.11 τοῖς T-DPM 3588 ὁ ! ὁ
2TH 1:8.12 μὴ PRT-N 3361 μή ! μή
2TH 1:8.13 ὑπακούουσιν V-PAP-DPM 5219 ὑπακούω ! ὑπακούω
2TH 1:8.14 τῷ T-DSN 3588 ὁ ! ὁ
2TH 1:8.15 εὐαγγελίῳ N-DSN 2098 εὐαγγέλιον ! εὐαγγέλιον
2TH 1:8.16 τοῦ T-GSM 3588 ὁ ! ὁ
2TH 1:8.17 κυρίου N-GSM 2962 κύριος ! κύριος
2TH 1:8.18 ἡμῶν P-1GP 2248 ἡμᾶς ! ἐγώ
2TH 1:8.19 Ἰησοῦ, N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2TH 1:9.1 οἵτινες R-NPM 3748 ὅστις ! ὅστις
2TH 1:9.2 δίκην N-ASF 1349 δίκη ! δίκη
2TH 1:9.3 τίσουσιν V-FAI-3P 5099 τίνω ! τίνω
2TH 1:9.4 ὄλεθρον N-ASM 3639 ὄλεθρος ! ὄλεθρος
2TH 1:9.5 αἰώνιον A-ASM 166 αἰώνιος ! αἰώνιος
2TH 1:9.6 ἀπὸ PREP 575 ἀπό ! ἀπό
2TH 1:9.7 προσώπου N-GSN 4383 πρόσωπον ! πρόσωπον
2TH 1:9.8 τοῦ T-GSM 3588 ὁ ! ὁ
2TH 1:9.9 κυρίου N-GSM 2962 κύριος ! κύριος
2TH 1:9.10 καὶ CONJ 2532 καί ! καί
2TH 1:9.11 ἀπὸ PREP 575 ἀπό ! ἀπό
2TH 1:9.12 τῆς T-GSF 3588 ὁ ! ὁ
2TH 1:9.13 δόξης N-GSF 1391 δόξα ! δόξα
2TH 1:9.14 τῆς T-GSF 3588 ὁ ! ὁ
2TH 1:9.15 ἰσχύος N-GSF 2479 ἰσχύς ! ἰσχύς
2TH 1:9.16 αὐτοῦ, P-GSM 846 αὐτός ! αὐτός
2TH 1:10.1 ὅταν CONJ 3752 ὅταν ! ὅταν
2TH 1:10.2 ἔλθῃ V-2AAS-3S 2064 ἔρχομαι ! ἔρχομαι
2TH 1:10.3 ἐνδοξασθῆναι V-APN 1740 ἐνδοξάζω ! ἐνδοξάζομαι
2TH 1:10.4 ἐν PREP 1722 ἐν ! ἐν
2TH 1:10.5 τοῖς T-DPM 3588 ὁ ! ὁ
2TH 1:10.6 ἁγίοις A-DPM 40 ἅγιος ! ἅγιος
2TH 1:10.7 αὐτοῦ P-GSM 846 αὐτός ! αὐτός
2TH 1:10.8 καὶ CONJ 2532 καί ! καί
2TH 1:10.9 θαυμασθῆναι V-APN 2296 θαυμάζω ! θαυμάζω
2TH 1:10.10 ἐν PREP 1722 ἐν ! ἐν
2TH 1:10.11 πᾶσιν A-DPM 3956 πᾶς ! πᾶς
2TH 1:10.12 τοῖς T-DPM 3588 ὁ ! ὁ
2TH 1:10.13 πιστεύσασιν, V-AAP-DPM 4100 πιστεύω ! πιστεύω
2TH 1:10.14 ὅτι CONJ 3754 ὅτι ! ὅτι
2TH 1:10.15 ἐπιστεύθη V-API-3S 4100 πιστεύω ! πιστεύω
2TH 1:10.16 τὸ T-NSN 3588 ὁ ! ὁ
2TH 1:10.17 μαρτύριον N-NSN 3142 μαρτύριον ! μαρτύριον
2TH 1:10.18 ἡμῶν P-1GP 2248 ἡμᾶς ! ἐγώ
2TH 1:10.19 ἐφ’ PREP 1909 ἐπί ! ἐπί
2TH 1:10.20 ὑμᾶς, P-2AP 5210 ὑμεῖς ! σύ
2TH 1:10.21 ἐν PREP 1722 ἐν ! ἐν
2TH 1:10.22 τῇ T-DSF 3588 ὁ ! ὁ
2TH 1:10.23 ἡμέρᾳ N-DSF 2250 ἡμέρα ! ἡμέρα
2TH 1:10.24 ἐκείνῃ. D-DSF 1565 ἐκεῖνος ! ἐκεῖνος
