1PE 1:12.21 ἀποσταλέντι V-2APP-DSN 649 ἀποστέλλω ! ἀποστέλλω
1PE 1:12.22 ἀπ’ PREP 575 ἀπό ! ἀπό
1PE 1:12.23 οὐρανοῦ, N-GSM 3772 οὐρανός ! οὐρανός
1PE 1:12.24 εἰς PREP 1519 εἰς ! εἰς
1PE 1:12.25 ἃ R-APN 3739 ὅς ! ὅς
1PE 1:12.26 ἐπιθυμοῦσιν V-PAI-3P 1937 ἐπιθυμέω ! ἐπιθυμέω
1PE 1:12.27 ἄγγελοι N-NPM 32 ἄγγελος ! ἄγγελος
1PE 1:12.28 παρακύψαι. V-AAN 3879 παρακύπτω ! παρακύπτω
1PE 1:13.1 Διὸ CONJ 1352 διό ! διό
1PE 1:13.2 ἀναζωσάμενοι V-AMP-NPM 328 ἀναζώννυμι ! ἀναζώννυμι
1PE 1:13.3 τὰς T-APF 3588 ὁ ! ὁ
1PE 1:13.4 ὀσφύας N-APF 3751 ὀσφῦς ! ὀσφῦς
1PE 1:13.5 τῆς T-GSF 3588 ὁ ! ὁ
1PE 1:13.6 διανοίας N-GSF 1271 διάνοια ! διάνοια
1PE 1:13.7 ὑμῶν, P-2GP 5210 ὑμεῖς ! σύ
1PE 1:13.8 νήφοντες, V-PAP-NPM 3525 νήφω ! νήφω
1PE 1:13.9 τελείως ADV 5049 τελείως ! τελείως
1PE 1:13.10 ἐλπίσατε V-AAM-2P 1679 ἐλπίζω ! ἐλπίζω
1PE 1:13.11 ἐπὶ PREP 1909 ἐπί ! ἐπί
1PE 1:13.12 τὴν T-ASF 3588 ὁ ! ὁ
1PE 1:13.13 φερομένην V-PPP-ASF 5342 φέρω ! φέρω
1PE 1:13.14 ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
1PE 1:13.15 χάριν N-ASF 5485 χάρις ! χάρις
1PE 1:13.16 ἐν PREP 1722 ἐν ! ἐν
1PE 1:13.17 ἀποκαλύψει N-DSF 602 ἀποκάλυψις ! ἀποκάλυψις
1PE 1:13.18 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
1PE 1:13.19 Χριστοῦ. N-GSM 5547 Χριστός ! Χριστός
1PE 1:14.1 ὡς ADV 5613 ὡς ! ὡς
1PE 1:14.2 τέκνα N-NPN 5043 τέκνον ! τέκνον
1PE 1:14.3 ὑπακοῆς, N-GSF 5218 ὑπακοή ! ὑπακοή
1PE 1:14.4 μὴ PRT-N 3361 μή ! μή
1PE 1:14.5 συσχηματιζόμενοι V-PEP-NPM 4964 συσχηματίζω ! συσχηματίζω
1PE 1:14.6 ταῖς T-DPF 3588 ὁ ! ὁ
1PE 1:14.7 πρότερον ADV-C 4386 πρότερον ! πρότερος
1PE 1:14.8 ἐν PREP 1722 ἐν ! ἐν
1PE 1:14.9 τῇ T-DSF 3588 ὁ ! ὁ
1PE 1:14.10 ἀγνοίᾳ N-DSF 52 ἄγνοια ! ἄγνοια
1PE 1:14.11 ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
1PE 1:14.12 ἐπιθυμίαις, N-DPF 1939 ἐπιθυμία ! ἐπιθυμία
1PE 1:15.1 ἀλλὰ CONJ 235 ἀλλά ! ἀλλά
1PE 1:15.2 κατὰ PREP 2596 κατά ! κατά
1PE 1:15.3 τὸν T-ASM 3588 ὁ ! ὁ
1PE 1:15.4 καλέσαντα V-AAP-ASM 2564 καλέω ! καλέω
1PE 1:15.5 ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
1PE 1:15.6 ἅγιον A-ASM 40 ἅγιος ! ἅγιος
1PE 1:15.7 καὶ CONJ 2532 καί ! καί
1PE 1:15.8 αὐτοὶ P-NPM 846 αὐτός ! αὐτός
1PE 1:15.9 ἅγιοι A-NPM 40 ἅγιος ! ἅγιος
1PE 1:15.10 ἐν PREP 1722 ἐν ! ἐν
1PE 1:15.11 πάσῃ A-DSF 3956 πᾶς ! πᾶς
1PE 1:15.12 ἀναστροφῇ N-DSF 391 ἀναστροφή ! ἀναστροφή
1PE 1:15.13 γενήθητε, V-AOM-2P 1096 γίνομαι ! γίνομαι
1PE 1:16.1 διότι CONJ 1360 διότι ! διότι
1PE 1:16.2 γέγραπται V-RPI-3S 1125 γράφω ! γράφω
1PE 1:16.3 ἅγιοι A-NPM 40 ἅγιος ! ἅγιος
1PE 1:16.4 ἔσεσθε, V-FDI-2P 1510 εἰμί ! εἰμί
1PE 1:16.5 διότι CONJ 1360 διότι ! διότι
1PE 1:16.6 ἐγὼ P-1NS 1473 ἐγώ ! ἐγώ
1PE 1:16.7 ἅγιος. A-NSM 40 ἅγιος ! ἅγιος
1PE 1:17.1 καὶ CONJ 2532 καί ! καί
1PE 1:17.2 εἰ COND 1487 εἰ ! εἰ
1PE 1:17.3 πατέρα N-ASM 3962 πατήρ ! πατήρ
1PE 1:17.4 ἐπικαλεῖσθε V-PMI-2P 1941 ἐπικαλέομαι ! ἐπικαλέω
1PE 1:17.5 τὸν T-ASM 3588 ὁ ! ὁ
1PE 1:17.6 ἀπροσωπολήμπτως ADV 678 ἀπροσωπολήπτως ! ἀπροσωπολήμπτως
1PE 1:17.7 κρίνοντα V-PAP-ASM 2919 κρίνω ! κρίνω
1PE 1:17.8 κατὰ PREP 2596 κατά ! κατά
1PE 1:17.9 τὸ T-ASN 3588 ὁ ! ὁ
1PE 1:17.10 ἑκάστου A-GSM 1538 ἕκαστος ! ἕκαστος
1PE 1:17.11 ἔργον, N-ASN 2041 ἔργον ! ἔργον
1PE 1:17.12 ἐν PREP 1722 ἐν ! ἐν
1PE 1:17.13 φόβῳ N-DSM 5401 φόβος ! φόβος
1PE 1:17.14 τὸν T-ASM 3588 ὁ ! ὁ
1PE 1:17.15 τῆς T-GSF 3588 ὁ ! ὁ
1PE 1:17.16 παροικίας N-GSF 3940 παροικία ! παροικία
1PE 1:17.17 ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
1PE 1:17.18 χρόνον N-ASM 5550 χρόνος ! χρόνος
1PE 1:17.19 ἀναστράφητε, V-2APM-2P 390 ἀναστρέφω ! ἀναστρέφω
1PE 1:18.1 εἰδότες V-RAP-NPM 1492 εἴδω ! οἶδα
1PE 1:18.2 ὅτι CONJ 3754 ὅτι ! ὅτι
1PE 1:18.3 οὐ PRT-N 3756 οὐ ! οὐ
1PE 1:18.4 φθαρτοῖς, A-DPN 5349 φθαρτός ! φθαρτός
1PE 1:18.5 ἀργυρίῳ N-DSN 694 ἀργύριον ! ἀργύριον
1PE 1:18.6 ἢ PRT 2228 ἤ ! ἤ
1PE 1:18.7 χρυσίῳ N-DSN 5553 χρυσίον ! χρυσίον
1PE 1:18.8 ἐλυτρώθητε V-API-2P 3084 λυτρόω ! λυτρόω
1PE 1:18.9 ἐκ PREP 1537 ἐκ ! ἐκ
1PE 1:18.10 τῆς T-GSF 3588 ὁ ! ὁ
1PE 1:18.11 ματαίας A-GSF 3152 μάταιος ! μάταιος
1PE 1:18.12 ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
1PE 1:18.13 ἀναστροφῆς N-GSF 391 ἀναστροφή ! ἀναστροφή
1PE 1:18.14 πατροπαραδότου, A-GSF 3970 πατροπαράδοτος ! πατροπαράδοτος
1PE 1:19.1 ἀλλὰ CONJ 235 ἀλλά ! ἀλλά
1PE 1:19.2 τιμίῳ A-DSN 5093 τίμιος ! τίμιος
1PE 1:19.3 αἵματι N-DSN 129 αἷμα ! αἷμα
1PE 1:19.4 ὡς ADV 5613 ὡς ! ὡς
1PE 1:19.5 ἀμνοῦ N-GSM 286 ἀμνός ! ἀμνός
1PE 1:19.6 ἀμώμου A-GSM 299 ἄμωμος ! ἄμωμος
1PE 1:19.7 καὶ CONJ 2532 καί ! καί
