RE 1:6.2 ἐποίησεν V-AAI-3S 4160 ποιέω ! ποιέω
RE 1:6.3 ἡμᾶς P-1AP 2248 ἡμᾶς ! ἐγώ
RE 1:6.4 βασιλείαν, N-ASF 932 βασιλεία ! βασιλεία
RE 1:6.5 ἱερεῖς N-APM 2409 ἱερεύς ! ἱερεύς
RE 1:6.6 τῷ T-DSM 3588 ὁ ! ὁ
RE 1:6.7 θεῷ N-DSM 2316 θεός ! θεός
RE 1:6.8 καὶ CONJ 2532 καί ! καί
RE 1:6.9 πατρὶ N-DSM 3962 πατήρ ! πατήρ
RE 1:6.10 αὐτοῦ, P-GSM 846 αὐτός ! αὐτός
RE 1:6.11 αὐτῷ P-DSM 846 αὐτός ! αὐτός
RE 1:6.12 ἡ T-NSF 3588 ὁ ! ὁ
RE 1:6.13 δόξα N-NSF 1391 δόξα ! δόξα
RE 1:6.14 καὶ CONJ 2532 καί ! καί
RE 1:6.15 τὸ T-NSN 3588 ὁ ! ὁ
RE 1:6.16 κράτος N-NSN 2904 κράτος ! κράτος
RE 1:6.17 εἰς PREP 1519 εἰς ! εἰς
RE 1:6.18 τοὺς T-APM 3588 ὁ ! ὁ
RE 1:6.19 αἰῶνας N-APM 165 αἰών ! αἰών
RE 1:6.20 τῶν T-GPM 3588 ὁ ! ὁ
RE 1:6.21 αἰώνων· N-GPM 165 αἰών ! αἰών
RE 1:6.22 ἀμήν. HEB 281 ἀμήν ! ἀμήν
RE 1:7.1 Ἰδοὺ V-2AAM-2S 3708 ὁράω ! ὁράω
RE 1:7.2 ἔρχεται V-PNI-3S 2064 ἔρχομαι ! ἔρχομαι
RE 1:7.3 μετὰ PREP 3326 μετά ! μετά
RE 1:7.4 τῶν T-GPF 3588 ὁ ! ὁ
RE 1:7.5 νεφελῶν, N-GPF 3507 νεφέλη ! νεφέλη
RE 1:7.6 καὶ CONJ 2532 καί ! καί
RE 1:7.7 ὄψεται V-FDI-3S 3708 ὁράω ! ὁράω
RE 1:7.8 αὐτὸν P-ASM 846 αὐτός ! αὐτός
RE 1:7.9 πᾶς A-NSM 3956 πᾶς ! πᾶς
RE 1:7.10 ὀφθαλμὸς N-NSM 3788 ὀφθαλμός ! ὀφθαλμός
RE 1:7.11 καὶ CONJ 2532 καί ! καί
RE 1:7.12 οἵτινες R-NPM 3748 ὅστις ! ὅστις
RE 1:7.13 αὐτὸν P-ASM 846 αὐτός ! αὐτός
RE 1:7.14 ἐξεκέντησαν, V-AAI-3P 1574 ἐκκεντέω ! ἐκκεντέω
RE 1:7.15 καὶ CONJ 2532 καί ! καί
