1TI 1:10.2 ἀρσενοκοίταις, N-DPM 733 ἀρσενοκοίτης ! ἀρσενοκοίτης
1TI 1:10.3 ἀνδραποδισταῖς, N-DPM 405 ἀνδραποδιστής ! ἀνδραποδιστής
1TI 1:10.4 ψεύσταις, N-DPM 5583 ψεύστης ! ψεύστης
1TI 1:10.5 ἐπιόρκοις, A-DPM 1965 ἐπίορκος ! ἐπίορκος
1TI 1:10.6 καὶ CONJ 2532 καί ! καί
1TI 1:10.7 εἴ COND 1487 εἰ ! εἰ
1TI 1:10.8 τι X-NSN 5100 τὶς ! τὶς
1TI 1:10.9 ἕτερον A-NSN 2087 ἕτερος ! ἕτερος
1TI 1:10.10 τῇ T-DSF 3588 ὁ ! ὁ
1TI 1:10.11 ὑγιαινούσῃ V-PAP-DSF 5198 ὑγιαίνω ! ὑγιαίνω
1TI 1:10.12 διδασκαλίᾳ N-DSF 1319 διδασκαλία ! διδασκαλία
1TI 1:10.13 ἀντίκειται, V-PNI-3S 480 ἀντίκειμαι ! ἀντίκειμαι
1TI 1:11.1 κατὰ PREP 2596 κατά ! κατά
1TI 1:11.2 τὸ T-ASN 3588 ὁ ! ὁ
1TI 1:11.3 εὐαγγέλιον N-ASN 2098 εὐαγγέλιον ! εὐαγγέλιον
1TI 1:11.4 τῆς T-GSF 3588 ὁ ! ὁ
1TI 1:11.5 δόξης N-GSF 1391 δόξα ! δόξα
1TI 1:11.6 τοῦ T-GSM 3588 ὁ ! ὁ
1TI 1:11.7 μακαρίου A-GSM 3107 μακάριος ! μακάριος
1TI 1:11.8 θεοῦ, N-GSM 2316 θεός ! θεός
1TI 1:11.9 ὃ R-ASN 3739 ὅς ! ὅς
1TI 1:11.10 ἐπιστεύθην V-API-1S 4100 πιστεύω ! πιστεύω
1TI 1:11.11 ἐγώ. P-1NS 1473 ἐγώ ! ἐγώ
1TI 1:12.1 χάριν N-ASF 5485 χάρις ! χάρις
1TI 1:12.2 ἔχω V-PAI-1S 2192 ἔχω ! ἔχω
